nameOfIssuer	titleOfClass	cusip	value	sshPrnamt	sshPrnamtType	investmentDiscretion	Sole	Shared	None	otherManager	putCall
COPA HOLDINGS SA	CL A	P31076105	62	680	SH	SOLE	0	0	680	2	n/a
COPART INC	COM	217204106	3219	58094	SH	SOLE	58094	0	0	n/a	n/a
CORBUS PHARMACEUTICALS HLDGS	COM	21833P103	52	6152	SH	SOLE	6152	0	0	n/a	n/a
CORCEPT THERAPEUTICS INC	COM	218352102	1850	254885	SH	SOLE	254885	0	0	n/a	n/a
CORE LABORATORIES N V	COM	N22717107	857	7141	SH	SOLE	7141	0	0	n/a	n/a
CORE LABORATORIES N V	COM	N22717107	4370	36403	SH	SOLE	0	0	36403	2	n/a
CORE MARK HOLDING CO INC	COM	218681104	3702	85950	SH	SOLE	85950	0	0	n/a	n/a
CORECIVIC INC	COM	21871N101	1682	68753	SH	SOLE	68753	0	0	n/a	n/a
CORELOGIC INC	COM	21871D103	1906	51753	SH	SOLE	51753	0	0	n/a	n/a
CORENERGY INFRASTRUCTURE TR	COM NEW	21870U502	237	6786	SH	SOLE	6786	0	0	n/a	n/a
CORESITE RLTY CORP	COM	21870Q105	5086	64076	SH	SOLE	64076	0	0	n/a	n/a
CORINDUS VASCULAR ROBOTICS I	COM	218730109	24	34998	SH	SOLE	34998	0	0	n/a	n/a
CORMEDIX INC	COM	21900C100	12	7588	SH	SOLE	7588	0	0	n/a	n/a
CORNERSTONE ONDEMAND INC	COM	21925Y103	1960	46331	SH	SOLE	46331	0	0	n/a	n/a
CORNING INC	COM	219350105	1465	60361	SH	SOLE	60361	0	0	n/a	n/a
CORNING INC	COM	219350105	13703	564590	SH	SOLE	0	0	564590	2	n/a
CORNING INC	OPTIONS	219350105	279	11500	SH	SOLE	11500	0	0	n/a	Put
CORPORATE OFFICE PPTYS TR	SH BEN INT	22002T108	3610	115637	SH	SOLE	115637	0	0	n/a	n/a
CORVEL CORP	COM	221006109	376	10271	SH	SOLE	10271	0	0	n/a	n/a
CORVUS PHARMACEUTICALS INC	COM	221015100	398	27851	SH	SOLE	27851	0	0	n/a	n/a
COSTAMARE INC	SHS	Y1771G102	64	11393	SH	SOLE	11393	0	0	n/a	n/a
COSTAR GROUP INC	COM	22160N109	15179	80530	SH	SOLE	76817	0	3713	n/a	n/a
COSTAR GROUP INC	COM	22160N109	4136	21942	SH	SOLE	0	0	21942	2	n/a
COSTCO WHSL CORP NEW	COM	22160K105	35060	218974	SH	SOLE	209553	0	9421	n/a	n/a
COSTCO WHSL CORP NEW	COM	22160K105	43705	272970	SH	SOLE	0	0	272970	2	n/a
COTIVITI HLDGS INC	COM	22164K101	163	4749	SH	SOLE	4749	0	0	n/a	n/a
COTT CORP QUE	COM	22163N106	4522	399160	SH	SOLE	399160	0	0	n/a	n/a
COTY INC	COM CL A	222070203	3897	212820	SH	SOLE	212820	0	0	n/a	n/a
COTY INC	COM CL A	222070203	5095	278263	SH	SOLE	0	0	278263	2	n/a
COUNTY BANCORP INC	COM	221907108	52	1930	SH	SOLE	1930	0	0	n/a	n/a
COUPA SOFTWARE INC	COM	22266L106	5792	231574	SH	SOLE	231574	0	0	n/a	n/a
COUPA SOFTWARE INC	COM	22266L106	68	2700	SH	SOLE	0	0	2700	2	n/a
COUSINS PPTYS INC	COM	222795106	3405	400068	SH	SOLE	400068	0	0	n/a	n/a
COVANTA HLDG CORP	COM	22282E102	1108	71027	SH	SOLE	71027	0	0	n/a	n/a
COVENANT TRANSN GROUP INC	CL A	22284P105	128	6593	SH	SOLE	6593	0	0	n/a	n/a
COVISINT CORP	COM	22357R103	17	8788	SH	SOLE	8788	0	0	n/a	n/a
COWEN GROUP INC NEW	CL A NEW	223622606	218	14094	SH	SOLE	14094	0	0	n/a	n/a
CPI AEROSTRUCTURES INC	COM NEW	125919308	21	2281	SH	SOLE	2281	0	0	n/a	n/a
CPI CARD GROUP INC	COM	12634H101	30	7162	SH	SOLE	7162	0	0	n/a	n/a
CRA INTL INC	COM	12618T105	162	4425	SH	SOLE	4425	0	0	n/a	n/a
CRACKER BARREL OLD CTRY STOR	COM	22410J106	1804	10805	SH	SOLE	10805	0	0	n/a	n/a
CRAFT BREW ALLIANCE INC	COM	224122101	107	6351	SH	SOLE	6351	0	0	n/a	n/a
CRANE CO	COM	224399105	2076	28790	SH	SOLE	28790	0	0	n/a	n/a
CRAWFORD & CO	CL B	224633107	114	9054	SH	SOLE	9054	0	0	n/a	n/a
CRAWFORD & CO	CL A	224633206	175	18466	SH	OTR	18466	0	0	n/a	n/a
CRAY INC	COM NEW	225223304	440	21263	SH	SOLE	21263	0	0	n/a	n/a
CREDICORP LTD	COM	G2519Y108	28128	178184	SH	SOLE	178184	0	0	n/a	n/a
CREDIT ACCEP CORP MICH	COM	225310101	1220	5610	SH	SOLE	5610	0	0	n/a	n/a
CREDIT SUISSE NASSAU BRH	INVRS VIX STERM	22542D795	38	804	SH	OTR	804	0	0	n/a	n/a
CREE INC	COM	225447101	1531	58032	SH	SOLE	58032	0	0	n/a	n/a
CRITEO S A	SPONS ADS	226718104	3467	84400	SH	SOLE	84400	0	0	n/a	n/a
CROCS INC	COM	227046109	258	37555	SH	SOLE	37555	0	0	n/a	n/a
CROSS CTRY HEALTHCARE INC	COM	227483104	264	16928	SH	SOLE	16928	0	0	n/a	n/a
CROWN CASTLE INTL CORP NEW	COM	22822V101	91887	1058977	SH	SOLE	1058977	0	0	n/a	n/a
CROWN CASTLE INTL CORP NEW	COM	22822V101	13216	152311	SH	SOLE	0	0	152311	2	n/a
CROWN HOLDINGS INC	COM	228368106	41503	789489	SH	SOLE	789489	0	0	n/a	n/a
CROWN HOLDINGS INC	COM	228368106	5216	99221	SH	SOLE	0	0	99221	2	n/a
CRYOLIFE INC	COM	228903100	309	16114	SH	SOLE	16114	0	0	n/a	n/a
CSG SYS INTL INC	COM	126349109	11630	240288	SH	SOLE	240288	0	0	n/a	n/a
CSRA INC	COM	12650T104	2322	72929	SH	SOLE	72929	0	0	n/a	n/a
CSS INDS INC	COM	125906107	128	4733	SH	SOLE	4733	0	0	n/a	n/a
CST BRANDS INC	COM	12646R105	2109	43808	SH	SOLE	43808	0	0	n/a	n/a
CSW INDUSTRIALS INC	COM	126402106	294	7983	SH	SOLE	7983	0	0	n/a	n/a
CSX CORP	COM	126408103	9981	277792	SH	SOLE	235813	0	41979	n/a	n/a
CSX CORP	COM	126408103	18089	503441	SH	SOLE	0	0	503441	2	n/a
CSX CORP	OPTIONS	126408103	5928	165000	SH	SOLE	165000	0	0	n/a	Call
CTI BIOPHARMA CORP	COM	12648L106	11	26414	SH	SOLE	26414	0	0	n/a	n/a
CTRIP COM INTL LTD	AMERICAN DEP SHS	22943F100	1986	49658	SH	SOLE	49658	0	0	n/a	n/a
CTS CORP	COM	126501105	382	17051	SH	SOLE	17051	0	0	n/a	n/a
CU BANCORP CALIF	COM	126534106	224	6244	SH	SOLE	6244	0	0	n/a	n/a
CUBESMART	COM	229663109	5877	219545	SH	SOLE	219545	0	0	n/a	n/a
CUBIC CORP	COM	229669106	11020	229828	SH	SOLE	229828	0	0	n/a	n/a
CULLEN FROST BANKERS INC	COM	229899109	7293	82662	SH	SOLE	82662	0	0	n/a	n/a
CULP INC	COM	230215105	7207	193997	SH	SOLE	193997	0	0	n/a	n/a
CUMBERLAND PHARMACEUTICALS I	COM	230770109	25	4500	SH	SOLE	4500	0	0	n/a	n/a
CUMMINS INC	COM	231021106	10253	75017	SH	SOLE	75017	0	0	n/a	n/a
CUMMINS INC	COM	231021106	12935	94647	SH	SOLE	0	0	94647	2	n/a
CUMULUS MEDIA INC	CL A NEW	231082603	3	3185	SH	SOLE	3185	0	0	n/a	n/a
CURIS INC	COM	231269101	187	60578	SH	SOLE	60578	0	0	n/a	n/a
CURTISS WRIGHT CORP	COM	231561101	2302	23402	SH	SOLE	23402	0	0	n/a	n/a
CUSTOMERS BANCORP INC	COM	23204G100	495	13811	SH	SOLE	13811	0	0	n/a	n/a
CUTERA INC	COM	232109108	349	20140	SH	SOLE	20140	0	0	n/a	n/a
CVB FINL CORP	COM	126600105	1226	53454	SH	SOLE	53454	0	0	n/a	n/a
CVR ENERGY INC	COM	12662P108	199	7847	SH	SOLE	7847	0	0	n/a	n/a
CVS HEALTH CORP	COM	126650100	1080	13681	SH	OTR	0	13681	0	n/a	n/a
CVS HEALTH CORP	COM	126650100	187579	2377123	SH	SOLE	2377123	0	0	n/a	n/a
CVS HEALTH CORP	COM	126650100	42841	542909	SH	SOLE	0	0	542909	2	n/a
CYBEROPTICS CORP	COM	232517102	43	1663	SH	SOLE	1663	0	0	n/a	n/a
CYNOSURE INC	CL A	232577205	2348	51482	SH	SOLE	51482	0	0	n/a	n/a
CYPRESS SEMICONDUCTOR CORP	COM	232806109	4550	397706	SH	SOLE	397706	0	0	n/a	n/a
CYRUSONE INC	COM	23283R100	23083	516052	SH	SOLE	516052	0	0	n/a	n/a
CYS INVTS INC	COM	12673A108	619	80116	SH	SOLE	80116	0	0	n/a	n/a
CYTOKINETICS INC	COM NEW	23282W605	1504	123763	SH	SOLE	123763	0	0	n/a	n/a
CYTOMX THERAPEUTICS INC	COM	23284F105	138	12583	SH	SOLE	12583	0	0	n/a	n/a
CYTORI THERAPEUTICS INC	COM NEW	23283K204	4	2594	SH	SOLE	2594	0	0	n/a	n/a
CYTOSORBENTS CORP	COM NEW	23283X206	23	4303	SH	SOLE	4303	0	0	n/a	n/a
CYTRX CORP	COM PAR	232828509	15	41510	SH	SOLE	41510	0	0	n/a	n/a
D R HORTON INC	COM	23331A109	65635	2401570	SH	SOLE	2401570	0	0	n/a	n/a
D R HORTON INC	COM	23331A109	5526	202200	SH	SOLE	0	0	202200	2	n/a
DAILY JOURNAL CORP	COM	233912104	99	408	SH	SOLE	408	0	0	n/a	n/a
DAKTRONICS INC	COM	234264109	205	19192	SH	SOLE	19192	0	0	n/a	n/a
DANA INCORPORATED	COM	235825205	1486	78304	SH	SOLE	78304	0	0	n/a	n/a
DANAHER CORP DEL	COM	235851102	14208	182532	SH	SOLE	182532	0	0	n/a	n/a
DANAHER CORP DEL	COM	235851102	26079	335036	SH	SOLE	0	0	335036	2	n/a
DARDEN RESTAURANTS INC	COM	237194105	9923	136456	SH	SOLE	136456	0	0	n/a	n/a
DARDEN RESTAURANTS INC	COM	237194105	7509	103264	SH	SOLE	0	0	103264	2	n/a
DARIOHEALTH CORP	*W EXP 03/08/202	23725P118	4	5493	SH	OTR	5493	0	0	n/a	n/a
DARLING INGREDIENTS INC	COM	237266101	1135	87930	SH	SOLE	87930	0	0	n/a	n/a
DATALINK CORP	COM	237934104	725	64390	SH	SOLE	64390	0	0	n/a	n/a
DATARAM CORP	COM PAR NEW	238108401	1	297	SH	SOLE	297	0	0	n/a	n/a
DAVE & BUSTERS ENTMT INC	COM	238337109	1442	25604	SH	SOLE	25604	0	0	n/a	n/a
DAVITA INC	COM	23918K108	90910	1416049	SH	SOLE	1416049	0	0	n/a	n/a
DAVITA INC	COM	23918K108	10844	168915	SH	SOLE	77990	0	90925	2	n/a
DAWSON GEOPHYSICAL CO NEW	COM	239360100	105	13018	SH	SOLE	13018	0	0	n/a	n/a
DCP MIDSTREAM PARTNERS LP	COM UT LTD PTN	23311P100	7562	197025	SH	SOLE	197025	0	0	n/a	n/a
DCT INDUSTRIAL TRUST INC	COM NEW	233153204	7024	146703	SH	SOLE	146703	0	0	n/a	n/a
DDR CORP	COM	23317H102	5863	383977	SH	SOLE	383977	0	0	n/a	n/a
DEAN FOODS CO NEW	COM NEW	242370203	9976	458012	SH	SOLE	458012	0	0	n/a	n/a
DECKERS OUTDOOR CORP	COM	243537107	1792	32355	SH	SOLE	32355	0	0	n/a	n/a
DECKERS OUTDOOR CORP	COM	243537107	93	1670	SH	SOLE	0	0	1670	2	n/a
DEERE & CO	COM	244199105	13134	127469	SH	SOLE	127469	0	0	n/a	n/a
DEERE & CO	COM	244199105	11921	115695	SH	SOLE	0	0	115695	2	n/a
DEL FRISCOS RESTAURANT GROUP	COM	245077102	232	13659	SH	SOLE	13659	0	0	n/a	n/a
DEL TACO RESTAURANTS INC	COM	245496104	219	15496	SH	SOLE	15496	0	0	n/a	n/a
DEL TACO RESTAURANTS INC	*W EXP 06/30/202	245496112	243	50143	SH	OTR	50143	0	0	n/a	n/a
DELEK LOGISTICS PARTNERS LP	COM UNT RP INT	24664T103	5933	207801	SH	SOLE	207801	0	0	n/a	n/a
DELEK US HLDGS INC	COM	246647101	753	31299	SH	SOLE	31299	0	0	n/a	n/a
DELL TECHNOLOGIES INC	COM CL V	24703L103	64	1168	SH	OTR	1168	0	0	n/a	n/a
DELL TECHNOLOGIES INC	COM CL V	24703L103	23560	428593	SH	SOLE	428593	0	0	n/a	n/a
DELL TECHNOLOGIES INC	OPTIONS	24703L103	8246	150000	SH	SOLE	150000	0	0	n/a	Put
DELPHI AUTOMOTIVE PLC	SHS	G27823106	28432	422158	SH	SOLE	406330	0	15828	n/a	n/a
DELPHI AUTOMOTIVE PLC	SHS	G27823106	10750	159619	SH	SOLE	0	0	159619	2	n/a
DELTA AIR LINES INC DEL	COM NEW	247361702	343784	6988901	SH	SOLE	6988901	0	0	n/a	n/a
DELTA AIR LINES INC DEL	COM NEW	247361702	5189	105495	SH	SOLE	0	0	105495	2	n/a
DELTA AIR LINES INC DEL	OPTIONS	247361702	31880	648100	SH	SOLE	648100	0	0	n/a	Call
DELTA APPAREL INC	COM	247368103	62	2968	SH	SOLE	2968	0	0	n/a	n/a
DELTA NAT GAS INC	COM	247748106	120	4084	SH	SOLE	4084	0	0	n/a	n/a
DELTIC TIMBER CORP	COM	247850100	428	5557	SH	SOLE	5557	0	0	n/a	n/a
DELUXE CORP	COM	248019101	1832	25588	SH	SOLE	25588	0	0	n/a	n/a
DENBURY RES INC	COM NEW	247916208	726	197216	SH	SOLE	197216	0	0	n/a	n/a
DENNYS CORP	COM	24869P104	524	40833	SH	SOLE	40833	0	0	n/a	n/a
DENTSPLY SIRONA INC	COM	24906P109	5962	103272	SH	SOLE	103272	0	0	n/a	n/a
DENTSPLY SIRONA INC	COM	24906P109	8603	149021	SH	SOLE	0	0	149021	2	n/a
DEPOMED INC	COM	249908104	576	31946	SH	SOLE	31946	0	0	n/a	n/a
DERMA SCIENCES INC	COM PAR $.01	249827502	37	7068	SH	SOLE	7068	0	0	n/a	n/a
DERMIRA INC	COM	24983L104	13358	440424	SH	SOLE	440424	0	0	n/a	n/a
DERMIRA INC	COM	24983L104	1673	55160	SH	SOLE	55160	0	0	2	n/a
DESTINATION MATERNITY CORP	COM	25065D100	14	2770	SH	SOLE	2770	0	0	n/a	n/a
DESTINATION XL GROUP INC	COM	25065K104	88	20788	SH	SOLE	20788	0	0	n/a	n/a
DETERMINE INC	COM	250660107	6	2985	SH	SOLE	2985	0	0	n/a	n/a
DEUTSCHE BANK AG	NAMEN AKT	D18190898	69	3800	SH	SOLE	3800	0	0	n/a	n/a
DEUTSCHE BANK AG	OPTIONS	D18190898	150	8300	SH	OTR	8300	0	0	n/a	Call
DEVON ENERGY CORP NEW	COM	25179M103	2288	50104	SH	OTR	0	50104	0	n/a	n/a
DEVON ENERGY CORP NEW	COM	25179M103	264934	5801050	SH	SOLE	5799793	0	1257	n/a	n/a
DEVON ENERGY CORP NEW	COM	25179M103	8706	190635	SH	SOLE	0	0	190635	2	n/a
DEVRY ED GROUP INC	COM	251893103	1017	32599	SH	SOLE	32599	0	0	n/a	n/a
DEXCOM INC	COM	252131107	11542	193341	SH	SOLE	193341	0	0	n/a	n/a
DEXCOM INC	COM	252131107	3758	62948	SH	SOLE	0	0	62948	2	n/a
DEXTERA SURGICAL INC	COM	252366109	3	3562	SH	SOLE	3562	0	0	n/a	n/a
DHI GROUP INC	COM	23331S100	172	27532	SH	SOLE	27532	0	0	n/a	n/a
DHT HOLDINGS INC	SHS NEW	Y2065G121	138	33256	SH	SOLE	33256	0	0	n/a	n/a
DIAGEO P L C	SPON ADR NEW	25243Q205	103359	994410	SH	SOLE	994410	0	0	n/a	n/a
DIAMOND HILL INVESTMENT GROU	COM NEW	25264R207	394	1874	SH	SOLE	1874	0	0	n/a	n/a
DIAMOND OFFSHORE DRILLING IN	COM	25271C102	669	37814	SH	SOLE	37814	0	0	n/a	n/a
DIAMONDBACK ENERGY INC	COM	25278X109	28485	281859	SH	SOLE	281859	0	0	n/a	n/a
DIAMONDBACK ENERGY INC	COM	25278X109	4441	43940	SH	SOLE	0	0	43940	2	n/a
DIAMONDROCK HOSPITALITY CO	COM	252784301	3675	318747	SH	SOLE	318747	0	0	n/a	n/a
DICERNA PHARMACEUTICALS INC	COM	253031108	8	2670	SH	SOLE	2670	0	0	n/a	n/a
DICKS SPORTING GOODS INC	COM	253393102	20956	394658	SH	SOLE	394658	0	0	n/a	n/a
DICKS SPORTING GOODS INC	COM	253393102	4643	87432	SH	SOLE	0	0	87432	2	n/a
DIEBOLD NXDF INC	COM	253651103	14275	567583	SH	SOLE	567583	0	0	n/a	n/a
DIGI INTL INC	COM	253798102	200	14579	SH	SOLE	14579	0	0	n/a	n/a
DIGIMARC CORP NEW	COM	25381B101	165	5504	SH	SOLE	5504	0	0	n/a	n/a
DIGITAL RLTY TR INC	COM	253868103	16851	171498	SH	SOLE	171498	0	0	n/a	n/a
DIGITAL RLTY TR INC	COM	253868103	8496	86460	SH	SOLE	0	0	86460	2	n/a
DIGITALGLOBE INC	COM NEW	25389M877	3783	132030	SH	SOLE	132030	0	0	n/a	n/a
DILLARDS INC	CL A	254067101	5465	87182	SH	SOLE	87182	0	0	n/a	n/a
DIME CMNTY BANCSHARES	COM	253922108	337	16749	SH	SOLE	16749	0	0	n/a	n/a
DIMENSION THERAPEUTICS INC	COM	25433V105	23	5357	SH	SOLE	5357	0	0	n/a	n/a
DINEEQUITY INC	COM	254423106	725	9412	SH	SOLE	9412	0	0	n/a	n/a
DIODES INC	COM	254543101	512	19956	SH	SOLE	19956	0	0	n/a	n/a
DIPLOMAT PHARMACY INC	COM	25456K101	1046	83020	SH	SOLE	59215	0	23805	n/a	n/a
DISCOVER FINL SVCS	COM	254709108	382588	5307086	SH	SOLE	5307086	0	0	n/a	n/a
DISCOVER FINL SVCS	COM	254709108	12401	172017	SH	SOLE	0	0	172017	2	n/a
DISCOVERY COMMUNICATNS NEW	COM SER A	25470F104	2270	82806	SH	SOLE	82806	0	0	n/a	n/a
DISCOVERY COMMUNICATNS NEW	COM SER A	25470F104	3350	122207	SH	SOLE	0	0	122207	2	n/a
DISCOVERY COMMUNICATNS NEW	COM SER C	25470F302	2697	100693	SH	SOLE	100693	0	0	n/a	n/a
DISCOVERY COMMUNICATNS NEW	COM SER C	25470F302	4679	174723	SH	SOLE	0	0	174723	2	n/a
DISH NETWORK CORP	CL A	25470M109	79529	1372839	SH	SOLE	1372839	0	0	n/a	n/a
DISH NETWORK CORP	OPTIONS	25470M109	209	3600	SH	OTR	3600	0	0	n/a	Put
DISNEY WALT CO	COM DISNEY	254687106	22799	218761	SH	SOLE	218761	0	0	n/a	n/a
DISNEY WALT CO	COM DISNEY	254687106	91383	876828	SH	SOLE	90080	0	786748	2	n/a
DIXIE GROUP INC	CL A	255519100	10	2900	SH	SOLE	2900	0	0	n/a	n/a
DMC GLOBAL INC	COM	23291C103	124	7818	SH	SOLE	7818	0	0	n/a	n/a
DOLBY LABORATORIES INC	COM	25659T107	1398	30926	SH	SOLE	30926	0	0	n/a	n/a
DOLLAR GEN CORP NEW	COM	256677105	289818	3912756	SH	SOLE	3912756	0	0	n/a	n/a
DOLLAR GEN CORP NEW	COM	256677105	12503	168794	SH	SOLE	0	0	168794	2	n/a
DOLLAR TREE INC	COM	256746108	46665	604630	SH	SOLE	592769	0	11861	n/a	n/a
DOLLAR TREE INC	COM	256746108	8727	113068	SH	SOLE	0	0	113068	2	n/a
DOMINION MIDSTREAM PARTNERS	COM UT REP LTD	257454108	17603	595715	SH	SOLE	595715	0	0	n/a	n/a
DOMINION RES INC VA NEW	COM	25746U109	254158	3318419	SH	SOLE	3318419	0	0	n/a	n/a
DOMINION RES INC VA NEW	COM	25746U109	21517	280936	SH	SOLE	0	0	280936	2	n/a
DOMINION RES INC VA NEW	UNIT 08/15/2019	25746U836	354	6993	SH	OTR	6993	0	0	n/a	n/a
DOMINION RES INC VA NEW	UNIT 08/15/2019	25746U836	90383	1786224	SH	SOLE	1786224	0	0	n/a	n/a
DOMINION RES INC VA NEW	UNIT 99/99/9999	25746U869	24390	487221	SH	SOLE	487221	0	0	n/a	n/a
DOMINOS PIZZA INC	COM	25754A201	75661	475136	SH	SOLE	475136	0	0	n/a	n/a
DOMINOS PIZZA INC	COM	25754A201	5326	33445	SH	SOLE	0	0	33445	2	n/a
DOMTAR CORP	COM NEW	257559203	13474	345226	SH	SOLE	345226	0	0	n/a	n/a
DONALDSON INC	COM	257651109	3167	75269	SH	SOLE	75269	0	0	n/a	n/a
DONEGAL GROUP INC	CL A	257701201	126	7190	SH	SOLE	7190	0	0	n/a	n/a
DONNELLEY FINL SOLUTIONS INC	COM	25787G100	363	15803	SH	SOLE	15803	0	0	n/a	n/a
DONNELLEY R R & SONS CO	COM	257867200	729	44693	SH	SOLE	44693	0	0	n/a	n/a
DORIAN LPG LTD	SHS USD	Y2106R110	68	8323	SH	SOLE	8323	0	0	n/a	n/a
DORMAN PRODUCTS INC	COM	258278100	5928	81140	SH	SOLE	81140	0	0	n/a	n/a
DOUBLE EAGLE ACQUISITION COR	UNIT 99/99/9999	G28195108	73	6989	SH	OTR	6989	0	0	n/a	n/a
DOUBLE EAGLE ACQUISITION COR	COM	G28195124	0	12	SH	OTR	12	0	0	n/a	n/a
DOUGLAS DYNAMICS INC	COM	25960R105	405	12031	SH	SOLE	12031	0	0	n/a	n/a
DOUGLAS EMMETT INC	COM	25960P109	6284	171886	SH	SOLE	171886	0	0	n/a	n/a
DOVER CORP	COM	260003108	15215	203054	SH	SOLE	203054	0	0	n/a	n/a
DOVER CORP	COM	260003108	7294	97346	SH	SOLE	0	0	97346	2	n/a
DOVER DOWNS GAMING & ENTMT I	COM	260095104	7	6916	SH	SOLE	6916	0	0	n/a	n/a
DOVER MOTORSPORTS INC	COM	260174107	4	1592	SH	SOLE	1592	0	0	n/a	n/a
DOW CHEM CO	COM	260543103	494445	8641126	SH	SOLE	8641126	0	0	n/a	n/a
DOW CHEM CO	COM	260543103	32636	570355	SH	SOLE	0	0	570355	2	n/a
DR PEPPER SNAPPLE GROUP INC	COM	26138E109	94323	1040289	SH	SOLE	1040289	0	0	n/a	n/a
DR PEPPER SNAPPLE GROUP INC	COM	26138E109	12960	142936	SH	SOLE	0	0	142936	2	n/a
DR REDDYS LABS LTD	ADR	256135203	486	10723	SH	SOLE	10723	0	0	n/a	n/a
DREW INDS INC	COM NEW	26168L205	1371	12726	SH	SOLE	12726	0	0	n/a	n/a
DRIL-QUIP INC	COM	262037104	15278	254422	SH	SOLE	254422	0	0	n/a	n/a
DRIVE SHACK INC	COM	262077100	42	11272	SH	SOLE	11272	0	0	n/a	n/a
DSP GROUP INC	COM	23332B106	7125	545940	SH	SOLE	545940	0	0	n/a	n/a
DST SYS INC DEL	COM	233326107	2052	19150	SH	SOLE	19150	0	0	n/a	n/a
DSW INC	CL A	23334L102	3153	139209	SH	SOLE	139209	0	0	n/a	n/a
DTE ENERGY CO	COM	233331107	53717	545290	SH	SOLE	545290	0	0	n/a	n/a
DTE ENERGY CO	COM	233331107	10985	111507	SH	SOLE	0	0	111507	2	n/a
DU PONT E I DE NEMOURS & CO	COM	263534109	416355	5672413	SH	SOLE	5672413	0	0	n/a	n/a
DU PONT E I DE NEMOURS & CO	COM	263534109	33214	452504	SH	SOLE	0	0	452504	2	n/a
DUCOMMUN INC DEL	COM	264147109	146	5705	SH	SOLE	5705	0	0	n/a	n/a
DUKE ENERGY CORP NEW	COM NEW	26441C204	34936	450095	SH	SOLE	450095	0	0	n/a	n/a
DUKE ENERGY CORP NEW	COM NEW	26441C204	24018	309426	SH	SOLE	0	0	309426	2	n/a
DUKE REALTY CORP	COM NEW	264411505	11976	450887	SH	SOLE	450887	0	0	n/a	n/a
DUKE REALTY CORP	COM NEW	264411505	6224	234323	SH	SOLE	0	0	234323	2	n/a
DULUTH HLDGS INC	COM CL B	26443V101	89	3488	SH	SOLE	3488	0	0	n/a	n/a
DUN & BRADSTREET CORP DEL NE	COM	26483E100	6386	52638	SH	SOLE	52638	0	0	n/a	n/a
DUN & BRADSTREET CORP DEL NE	COM	26483E100	3458	28507	SH	SOLE	0	0	28507	2	n/a
DUNKIN BRANDS GROUP INC	COM	265504100	3751	71531	SH	SOLE	53972	0	17559	n/a	n/a
DUPONT FABROS TECHNOLOGY INC	COM	26613Q106	4841	110197	SH	SOLE	110197	0	0	n/a	n/a
DURECT CORP	COM	266605104	90	67532	SH	SOLE	67532	0	0	n/a	n/a
DXP ENTERPRISES INC NEW	COM NEW	233377407	300	8635	SH	SOLE	8635	0	0	n/a	n/a
DYCOM INDS INC	COM	267475101	1311	16331	SH	SOLE	16331	0	0	n/a	n/a
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	81	20434	SH	SOLE	20434	0	0	n/a	n/a
DYNEGY INC NEW DEL	COM	26817R108	40122	4742571	SH	SOLE	4742571	0	0	n/a	n/a
DYNEX CAP INC	COM NEW	26817Q506	185	27180	SH	SOLE	27180	0	0	n/a	n/a
E L F BEAUTY INC	COM	26856L103	100	3454	SH	SOLE	3454	0	0	n/a	n/a
E TRADE FINANCIAL CORP	COM NEW	269246401	13429	387557	SH	SOLE	387557	0	0	n/a	n/a
E TRADE FINANCIAL CORP	COM NEW	269246401	5777	166720	SH	SOLE	0	0	166720	2	n/a
EAGLE BANCORP INC MD	COM	268948106	1002	16438	SH	SOLE	16438	0	0	n/a	n/a
EAGLE MATERIALS INC	COM	26969P108	2731	27721	SH	SOLE	27721	0	0	n/a	n/a
EAGLE PHARMACEUTICALS INC	COM	269796108	367	4627	SH	SOLE	4627	0	0	n/a	n/a
EARTHLINK HLDGS CORP	COM	27033X101	5001	886756	SH	SOLE	886756	0	0	n/a	n/a
EARTHSTONE ENERGY INC	COM NEW	27032D205	4	280	SH	SOLE	280	0	0	n/a	n/a
EAST WEST BANCORP INC	COM	27579R104	4325	85092	SH	SOLE	85092	0	0	n/a	n/a
EASTERLY ACQUISITION CORP	COM	27616L102	0	16	SH	OTR	16	0	0	n/a	n/a
EASTERLY GOVT PPTYS INC	COM	27616P103	362	18068	SH	SOLE	18068	0	0	n/a	n/a
EASTERN VA BANKSHARES INC	COM	277196101	27	2546	SH	SOLE	2546	0	0	n/a	n/a
EASTGROUP PPTY INC	COM	277276101	1241	16813	SH	SOLE	16813	0	0	n/a	n/a
EASTMAN CHEM CO	COM	277432100	25555	339777	SH	SOLE	339777	0	0	n/a	n/a
EASTMAN CHEM CO	COM	277432100	5640	74993	SH	SOLE	0	0	74993	2	n/a
EASTMAN KODAK CO	*W EXP 09/03/201	277461141	12	4110	SH	OTR	4110	0	0	n/a	n/a
EASTMAN KODAK CO	COM NEW	277461406	193	12422	SH	SOLE	12422	0	0	n/a	n/a
EATON CORP PLC	SHS	G29183103	1222	18213	SH	OTR	0	18213	0	n/a	n/a
EATON CORP PLC	SHS	G29183103	1903	28369	SH	SOLE	28369	0	0	n/a	n/a
EATON CORP PLC	SHS	G29183103	16624	247789	SH	SOLE	0	0	247789	2	n/a
EATON VANCE CORP	COM NON VTG	278265103	6528	155862	SH	SOLE	155862	0	0	n/a	n/a
EATON VANCE CORP	COM NON VTG	278265103	3776	90158	SH	SOLE	0	0	90158	2	n/a
